,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_like-boycott,increase_from_baseline_rmse_like-boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_like-boycott,increase_from_baseline_ndcg10_like-boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_like-boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_like-boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_like-boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_like-boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_like-boycott,num_tested_all-like-boycott
0019_SVD,992429,5993,3706,users from state US_NC excluded,SVD,0.8745157023782888,0.000904439363104026,0.8742285868273374,0.0006173238121526259,0.910351622075692,0.03674035906050721,0.8509796299563199,-0.022631633058864842,0.8810937267594692,0.007482463744284407,0.7932055646863645,0.0010233143160007785,0.7934333119578794,0.001251061587515645,0.7615259460257592,-0.030656304344604535,0.7670076990043924,-0.025174551365971354,0.7643661722184713,-0.027816078151892465,0.7853328240377924,0.7854951369268631,0.7646394930796,0.7711282779971531,0.7678418417625773,0.9094378919652941,0.9095032328031533,0.901111101505623,0.8961693545834096,0.8986402280445163,104.29014892578125,104.29014892578125,104.29014892578125,104.29014892578125,104.29014892578125,15.75579104423523,33.51777229309082,39.71014723777771,39.77015843391418,39.84747667312622,200041.8,198485.8,1556.0,1572.6,3128.6
0020_KNNBaseline_item_msd,991770,5998,3706,users from state US_AZ excluded,KNNBaseline_item_msd,0.8867674915949042,0.001302334352648593,0.8858495407969953,0.00038438355473968677,0.9885273133945971,0.10306215615234149,0.9324038886051278,0.04693873136287219,0.9631044994526476,0.07763934221039204,0.7909836348416845,-0.0005688066265265856,0.7911697118949836,-0.00038272957322749157,0.7674962379384109,-0.024056203529800202,0.7696411208717344,-0.021911320596476713,0.7685328861467643,-0.02301955532144684,0.7832115969231166,0.7833703871464548,0.7610898491575603,0.769823299594852,0.7656289321486985,0.9083583431298713,0.9083910246365431,0.903694452863044,0.9036785822360377,0.9036865175495408,26.029339170455934,26.029339170455934,26.029339170455934,26.029339170455934,26.029339170455934,185.8568702220917,346.6486413002014,355.1949956417084,355.9768983364105,356.82938289642334,200041.8,198354.0,1687.8,1446.8,3134.6
0020_SVD,991759,5998,3706,users from state US_AZ excluded,SVD,0.8747757945076934,0.0011645314925086137,0.8746347754645536,0.0010235124493688241,0.8911408153228735,0.01752955230768871,0.94099122933396,0.06737996631877519,0.9144651157147992,0.04085385269961439,0.7929870635038854,0.0008048131335216535,0.7932378979700154,0.00105564759965171,0.7615918627596511,-0.030590387610712644,0.7769317804240466,-0.015250469946317069,0.7687345646678441,-0.02344768570251965,0.7842670810246146,0.7846767397912434,0.7278732527409856,0.7925977571338685,0.7600142687792578,0.9093510943611409,0.9094693951028837,0.8924675714175339,0.9103165572355454,0.9013920643265395,95.91715121269226,95.91715121269226,95.91715121269226,95.91715121269226,95.91715121269226,32.43475775718689,49.35549635887146,53.29102110862732,53.843962812423705,53.90805449485779,200041.8,198351.8,1690.0,1444.6,3134.6
0021_KNNBaseline_item_msd,980938,5913,3702,users from state US_MI excluded,KNNBaseline_item_msd,0.8870407153267751,0.0015755580845194794,0.8848638911781584,-0.0006012660640971612,0.9915065615652837,0.10604140432302811,0.882234780224372,-0.0032303770178836455,0.9396856835797452,0.05422052633748964,0.7910721712228685,-0.00048027024534258445,0.7917309968715593,0.00017855540334821285,0.760636898170372,-0.030915543297839188,0.805765035521274,0.014212594053062855,0.7827834914690419,-0.008768949999169218,0.7842312143636568,0.7849356578614382,0.751715419586437,0.7930852807672486,0.7723351565165849,0.9084940526101006,0.908768481853814,0.8956884675170992,0.9101309065638693,0.9029160452460285,25.897502422332764,25.897502422332764,25.897502422332764,25.897502422332764,25.897502422332764,180.4712167263031,342.9484293937683,351.17467603683474,353.1654309749603,355.37429533004763,200041.8,196187.6,3854.2,3688.2,7542.4
0021_SVD,981022,5913,3700,users from state US_MI excluded,SVD,0.8753461006372101,0.0017348376220253092,0.8733593088122241,-0.00025195420296064697,0.9714105576094463,0.09779929459426151,0.8832936167775441,0.009682353762359375,0.9291868908247549,0.05557562780957015,0.7926925030108076,0.0005102526404439089,0.7931511628892796,0.0009689125189158432,0.7709873681217463,-0.02119488224861743,0.8048962639561899,0.012714013585826134,0.7880447538321231,-0.0041374965382405815,0.7845514585764348,0.7851250315926592,0.7583018762415975,0.786464599126192,0.7722176133698957,0.9090512928530895,0.9092506342730976,0.899776661006832,0.9084488947881205,0.9041127778974763,98.16348328590394,98.16348328590394,98.16348328590394,98.16348328590394,98.16348328590394,20.66835823059082,37.78209929466247,43.36304688453674,43.51357936859131,44.42055234909058,200041.8,196204.4,3837.4,3705.0,7542.4
0022_KNNBaseline_item_msd,997281,6030,3706,users from state US_NE excluded,KNNBaseline_item_msd,0.8855698838117011,0.00010472656944549019,0.8852573490229142,-0.00020780821934140992,0.9858209921963258,0.10035583495407019,0.9970723093887252,0.11160715214646955,0.9904247851370409,0.1049596278947853,0.7913534254342284,-0.00019901603398275736,0.7914130245558093,-0.00013941691240182408,0.7645035804222442,-0.027048861045966932,0.7660346078395718,-0.025517833628639353,0.7657048644511771,-0.025847577017033996,0.7828451786009577,0.7828853002303469,0.7608294975134242,0.7510697026626876,0.7565966905922643,0.9085867092764432,0.9085821596389787,0.9113299844559286,0.9000611055039964,0.9054272383382498,25.720082759857178,25.720082759857178,25.720082759857178,25.720082759857178,25.720082759857178,180.03577885627746,346.95759506225585,353.044526720047,353.27761526107787,353.5072258472443,200041.8,199456.2,585.6,400.4,986.0
0022_SVD,997553,6030,3706,users from state US_NE excluded,SVD,0.8736776571628612,6.639414767639629e-05,0.873467474718112,-0.00014378829707273333,0.948425290954734,0.07481402793954928,0.9996966741973164,0.12608541118213168,0.9725196506821456,0.09890838766696086,0.7929110127896133,0.0007287624192495734,0.7930417437944335,0.0008594934240697683,0.7297997615172793,-0.062382488853084395,0.798850682255815,0.006668431885451298,0.7635612124873965,-0.028621037882967215,0.7842249371849125,0.7843393932280986,0.7204884046673918,0.8112943594563807,0.7680534286044812,0.9096859508961984,0.9097222152104942,0.8878272997229608,0.9184499090827292,0.9038677141495061,97.03965263366699,97.03965263366699,97.03965263366699,97.03965263366699,97.03965263366699,31.22311305999756,49.09278931617737,53.58840274810791,53.60693221092224,53.63453512191772,200041.8,199510.6,531.2,454.8,986.0
0023_KNNBaseline_item_msd,990215,5971,3705,users from state US_WI excluded,KNNBaseline_item_msd,0.886703111937584,0.0012379546953283915,0.8853329621846641,-0.00013219505759154426,1.0132882172600808,0.12782306001782517,0.8894338578347174,0.0039687005924617935,0.9482147799442459,0.06274962270199025,0.7911714298669656,-0.0003810116012454845,0.7914378144668023,-0.00011462700140885129,0.7658712562544506,-0.025681185213760505,0.7928324669277629,0.001280025459551748,0.7804298835675182,-0.011122557900692942,0.7821155951554821,0.7823153116033948,0.7653375768066086,0.7796818249859688,0.7725273722094093,0.9078102800627159,0.9079095790236462,0.8992212336443363,0.9091120219771384,0.9041566546418427,25.944517660140992,25.944517660140992,25.944517660140992,25.944517660140992,25.944517660140992,185.33549666404724,342.3427435874939,348.93356704711914,350.263568687439,354.93688626289367,200041.8,198043.0,1998.8,2361.8,4360.6
0023_SVD,989130,5971,3706,users from state US_WI excluded,SVD,0.8756050678676359,0.001993804852451153,0.8746381509917445,0.0010268879765596983,0.9578191338516608,0.08420787083647607,0.8981851559959221,0.02457389298073731,0.9290014296764207,0.05539016666123597,0.7924642876151665,0.0002820372448028019,0.7929003064914967,0.0007180561211329595,0.7528983960131835,-0.03928385435718018,0.8027775438054677,0.010595293435104014,0.7786717520577532,-0.01351049831261053,0.7840284107135426,0.7844085679560504,0.7510097592088674,0.7830963639495685,0.7673187477006476,0.9093045125611294,0.9094286175399494,0.8985725738482057,0.9073836211488432,0.9029749088398308,95.6549346446991,95.6549346446991,95.6549346446991,95.6549346446991,95.6549346446991,24.3931845664978,43.14740567207336,47.781242752075194,47.86605248451233,47.9926483631134,200041.8,197826.0,2215.8,2144.8,4360.6
0024_KNNBaseline_item_msd,999562,6036,3706,users from state US_ND excluded,KNNBaseline_item_msd,0.8851132554925265,-0.00035190174972909993,0.8851015807835052,-0.0003635764587504031,0.9014018460701966,0.01593668882794097,0.9678479944747093,0.08238283723245365,0.9269780670791569,0.04151290983690126,0.7915236625042918,-2.8778963919284806e-05,0.7915538038625735,1.3623943623253254e-06,0.7541188588122656,-0.03743358265594554,0.7974363273992606,0.005883885931049493,0.7740889553717816,-0.01746348609642956,0.7837612125788617,0.7837816526278875,0.753787943728992,0.795293185647103,0.774755628148587,0.9083880723910372,0.9084061995121895,0.8810482842803683,0.888532302178351,0.8847902932293596,25.98273253440857,25.98273253440857,25.98273253440857,25.98273253440857,25.98273253440857,171.32022256851195,331.2408517837524,339.9112751483917,339.9396908760071,339.9698519706726,200041.8,199912.4,129.4,75.6,205.0
