,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0041_SVD,999694,6034,3706,6 user sample,SVD,0.8738770500538676,-0.0005195045167152301,0.8738419350525465,-0.00055461951803637,0.9381845556801715,0.0637880011095886,0.9381845556801715,0.0637880011095886,0.7930539814583598,-0.0006328900043520713,0.792997260603604,-0.0006896108591079031,0.8363534754186677,0.042666603955955784,0.8363534754186677,0.042666603955955784,0.7849486883681168,0.7849373803742344,0.7954380553587134,0.7954380553587134,0.9091570747527795,0.9091536108049274,0.9126371143927219,0.9126371143927219,108.20639991760254,108.20639991760254,108.20639991760254,108.20639991760254,69.63055877685547,108.98420948982239,113.51905155181885,113.52602343559265,200041.8,199938.8,103.0,103.0
0042_KNNBaseline_item_msd,998936,6034,3706,6 user sample,KNNBaseline_item_msd,0.885386398390801,0.0001570892684887859,0.8853503978425217,0.00012108872020943906,0.9109751367806943,0.02574582765838207,0.9109751367806943,0.02574582765838207,0.7910923741494786,-0.0010425069447534963,0.7911099492371291,-0.001024931857103062,0.7757729439002712,-0.01636193719396095,0.7757729439002712,-0.01636193719396095,0.7830882878571815,0.7830936254174607,0.7780204710569605,0.7780204710569605,0.9084317939215149,0.9084303396236069,0.9098942980946157,0.9098942980946157,29.10263752937317,29.10263752937317,29.10263752937317,29.10263752937317,248.09146013259888,447.69831981658933,451.92380237579346,451.93641633987426,200041.8,199787.2,254.6,254.6
0042_SVD,998936,6034,3706,6 user sample,SVD,0.874154469531703,-0.0002420850388799023,0.874110031044473,-0.00028652352610980536,0.9061216371696176,0.031725082599034726,0.9061216371696176,0.031725082599034726,0.7935305653406377,-0.00015630612207417904,0.7935487096464793,-0.00013816181623260704,0.7777457021569423,-0.01594116930576961,0.7777457021569423,-0.01594116930576961,0.7855293901242141,0.7855544526087336,0.7621699554193164,0.7621699554193164,0.9094809737533769,0.9094799523199507,0.9105094243595826,0.9105094243595826,122.48225231170655,122.48225231170655,122.48225231170655,122.48225231170655,51.37867684364319,88.17756829261779,96.72643871307373,96.73500852584839,200041.8,199787.2,254.6,254.6
0043_KNNBaseline_item_msd,999390,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854580932446204,0.000228784122308201,0.8851007035212086,-0.00012860560110361519,1.2463506336299577,0.36112132450764545,1.2463506336299577,0.36112132450764545,0.7916765911704855,-0.00045828992374663535,0.7917141560168031,-0.00042072507742907383,0.7397825247201307,-0.052352356374101405,0.7397825247201307,-0.052352356374101405,0.7831426677638553,0.7831336299589304,0.7886352485305991,0.7886352485305991,0.908246775680101,0.9082404983686576,0.9145546196705915,0.9145546196705915,30.66541452407837,30.66541452407837,30.66541452407837,30.66541452407837,243.4276845932007,442.81432900428774,446.0569664955139,446.0632357120514,200041.8,199878.0,163.8,163.8
0043_SVD,999390,6034,3706,6 user sample,SVD,0.8740322270224029,-0.0003643275481799435,0.8736584232910299,-0.0007381312795529116,1.2483576562156107,0.3739611016450278,1.2483576562156107,0.3739611016450278,0.7933436539388092,-0.00034321752390265026,0.7934000590860091,-0.00028681237670280524,0.7153354407281806,-0.07835143073453132,0.7153354407281806,-0.07835143073453132,0.7839840670617411,0.783987497941262,0.7760900567869722,0.7760900567869722,0.9090458968147217,0.9090452993778582,0.9096437554767707,0.9096437554767707,110.17552924156189,110.17552924156189,110.17552924156189,110.17552924156189,76.3591579914093,110.44451551437378,114.22808599472046,114.23461275100708,200041.8,199878.0,163.8,163.8
0044_KNNBaseline_item_msd,999152,6034,3706,6 user sample,KNNBaseline_item_msd,0.885598702112819,0.0003693929905067561,0.8853734095746095,0.00014410045229729107,1.0770454955828852,0.19181618646057297,1.0770454955828852,0.19181618646057297,0.7914488459694382,-0.0006860351247939267,0.7914384602464264,-0.0006964208478057454,0.8115349481847328,0.019400067090500683,0.8115349481847328,0.019400067090500683,0.7835781658365109,0.7835390894045207,0.8325903855611877,0.8325903855611877,0.9081588012529661,0.9081370434662922,0.9300241790827801,0.9300241790827801,33.580337572097775,33.580337572097775,33.580337572097775,33.580337572097775,248.63487730026245,473.76150302886964,477.3022068023682,477.3112368583679,200041.8,199830.4,211.4,211.4
0044_SVD,999152,6034,3706,6 user sample,SVD,0.8741738586556217,-0.00022269591496115737,0.8739394013404593,-0.00045715323012351927,1.0726439226463387,0.19824736807575583,1.0726439226463387,0.19824736807575583,0.7938899819635363,0.00020311050082444382,0.7938888224720302,0.0002019510093183019,0.7846932651527256,-0.008993606309986246,0.7846932651527256,-0.008993606309986246,0.7853629358723894,0.7853259750684657,0.8326132917643616,0.8326132917643616,0.9094355568844815,0.9094181224759899,0.9269560654969897,0.9269560654969897,109.08123636245728,109.08123636245728,109.08123636245728,109.08123636245728,49.156481981277466,95.08930902481079,99.23518986701966,99.24482798576355,200041.8,199830.4,211.4,211.4
0045_KNNBaseline_item_msd,998897,6034,3706,6 user sample,KNNBaseline_item_msd,0.885419562994613,0.00019025387230076074,0.8854669899068875,0.0002376807845753115,0.8481506280681936,-0.0370786810541186,0.8481506280681936,-0.0370786810541186,0.7906687483976328,-0.0014661326965993426,0.7907262388828796,-0.0014086422113525066,0.7403961213075956,-0.05173875978663656,0.7403961213075956,-0.05173875978663656,0.7822862940141581,0.7823083564645944,0.7608974917181646,0.7608974917181646,0.9079390725993719,0.9079470357312152,0.8999352208320788,0.8999352208320788,30.693123626708985,30.693123626708985,30.693123626708985,30.693123626708985,255.64336471557618,456.294934797287,459.64162821769713,459.65059299468993,200041.8,199779.4,262.4,262.4
0045_SVD,998897,6034,3706,6 user sample,SVD,0.8736796146138973,-0.0007169399566855361,0.8737125555335643,-0.0006839990370185456,0.8477675568241239,-0.026628997746458993,0.8477675568241239,-0.026628997746458993,0.7931911106349058,-0.0004957608278061132,0.7932380118928045,-0.0004488595699073672,0.7521352667346781,-0.041551604728033764,0.7521352667346781,-0.041551604728033764,0.7847651004083639,0.784783833074851,0.7675837697273847,0.7675837697273847,0.9096012248216689,0.9096092909759637,0.9014912301643154,0.9014912301643154,112.2625964641571,112.2625964641571,112.2625964641571,112.2625964641571,51.16361055374146,85.591224527359,91.39400973320008,91.40367379188538,200041.8,199779.4,262.4,262.4
0046_KNNBaseline_item_msd,999501,6034,3706,6 user sample,KNNBaseline_item_msd,0.8855176532028004,0.0002883440804881676,0.8854422201619648,0.00021291103965259683,0.9850955165480293,0.09986620742571706,0.9850955165480293,0.09986620742571706,0.791072749401493,-0.0010621316927391655,0.7910394481095789,-0.0010954329846531996,0.8318787543854318,0.03974387329119966,0.8318787543854318,0.03974387329119966,0.7831328212041115,0.7830796876232933,0.8326266651184444,0.8326266651184444,0.9082226534883334,0.9082026848877206,0.9282922935088249,0.9282922935088249,29.955636024475098,29.955636024475098,29.955636024475098,29.955636024475098,263.7280111312866,466.3089061737061,470.2296996116638,470.2371096611023,200041.8,199900.2,141.6,141.6
0046_SVD,999501,6034,3706,6 user sample,SVD,0.8742035683398035,-0.00019298623077934618,0.8741129764501316,-0.0002835781204512111,0.9926973238799659,0.11830076930938305,0.9926973238799659,0.11830076930938305,0.7926464625380234,-0.0010404089246884851,0.7926185390941325,-0.0010683323685793944,0.8259930607236591,0.03230618926094719,0.8259930607236591,0.03230618926094719,0.7842622102414674,0.7842042588090414,0.8383696276079089,0.8383696276079089,0.9092606662470926,0.9092412694180096,0.9287554518063903,0.9287554518063903,129.57311697006224,129.57311697006224,129.57311697006224,129.57311697006224,60.89899334907532,91.93228387832642,95.76021757125855,95.7673677444458,200041.8,199900.2,141.6,141.6
